Gene ID	source_id	Organism	Product Description	Gene Name or Symbol	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes
NCU08172	NCU08172-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU08173	NCU08173-t26_1	Neurospora crassa OR74A	early conidial development-2 protein	ecd-2	N/A	N/A	N/A	N/A	GO:0048315;GO:0009416	conidium formation;response to light stimulus	N/A	N/A	GO:0071949	FAD binding	N/A	N/A
NCU08174	NCU08174-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU08175	NCU08175-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0004707	MAP kinase activity	GO:0035556;GO:0000750;GO:0010468	intracellular signal transduction;pheromone-dependent signal transduction involved in conjugation with cellular fusion;regulation of gene expression	N/A	N/A	GO:0005524;GO:0004672	ATP binding;protein kinase activity	GO:0006468	protein phosphorylation
NCU08176	NCU08176-t26_1	Neurospora crassa OR74A	pectate lyase A	ply-2	N/A	N/A	N/A	N/A	GO:0045490	pectin catabolic process	GO:0005576	extracellular region	GO:0030570	pectate lyase activity	GO:0000272	polysaccharide catabolic process
NCU08177	NCU08177-t26_1	Neurospora crassa OR74A	protein kinase, variant 1, protein kinase	stk-51	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	GO:0005524;GO:0004672	ATP binding;protein kinase activity	GO:0006468	protein phosphorylation
NCU08177	NCU08177-t26_2	Neurospora crassa OR74A	protein kinase, variant 1, protein kinase	stk-51	GO:0022626	cytosolic ribosome	GO:0004694;GO:0004672	eukaryotic translation initiation factor 2alpha kinase activity;protein kinase activity	N/A	N/A	N/A	N/A	GO:0005524;GO:0004672	ATP binding;protein kinase activity	GO:0035556;GO:0006468	intracellular signal transduction;protein phosphorylation
NCU08178	NCU08178-t26_1	Neurospora crassa OR74A	purine permease-1	pup-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0006862;GO:0055085	nucleotide transport;transmembrane transport
NCU08179	NCU08179-t26_1	Neurospora crassa OR74A	hypothetical protein	gh79-2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08180	NCU08180-t26_1	Neurospora crassa OR74A	sugar transporter-10	sut-10	N/A	N/A	GO:0005351	carbohydrate:proton symporter activity	GO:0046323	glucose import	GO:0016021;GO:0016020	integral component of membrane;membrane	GO:0022857	transmembrane transporter activity	GO:0005975;GO:0008643;GO:0051594;GO:0010255;GO:0055085	carbohydrate metabolic process;carbohydrate transport;detection of glucose;glucose mediated signaling pathway;transmembrane transport
NCU08182	NCU08182-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08183	NCU08183-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	GO:0008168	methyltransferase activity	N/A	N/A
NCU08184	NCU08184-t26_1	Neurospora crassa OR74A	hypothetical protein	sgr-28	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	GO:0046983	protein dimerization activity	N/A	N/A
NCU08185	NCU08185-t26_1	Neurospora crassa OR74A	Septal pore-associated protein, putative	N/A	GO:0000934	porous cell septum	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08185	NCU08185-t26_2	Neurospora crassa OR74A	Septal pore-associated protein, putative	N/A	GO:0000934	porous cell septum	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08186	NCU08186-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08187	NCU08187-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU08188	NCU08188-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU08189	NCU08189-t26_1	Neurospora crassa OR74A	Endo-1,4-beta-xylanase	gh10-2	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005576	extracellular region	GO:0031176;GO:0004553;GO:0030247	endo-1,4-beta-xylanase activity;hydrolase activity, hydrolyzing O-glycosyl compounds;polysaccharide binding	GO:0005975;GO:0000272;GO:0045493	carbohydrate metabolic process;polysaccharide catabolic process;xylan catabolic process
NCU08190	NCU08190-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0005886	plasma membrane	N/A	N/A	GO:0009416	response to light stimulus	N/A	N/A	GO:0003824	catalytic activity	N/A	N/A
NCU08191	NCU08191-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08192	NCU08192-t26_1	Neurospora crassa OR74A	Hydrophobin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005618;GO:0005576	cell wall;extracellular region	N/A	N/A	GO:0051606	detection of stimulus
NCU08193	NCU08193-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08194	NCU08194-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0005886	plasma membrane	GO:0000293	ferric-chelate reductase activity	GO:0055114;GO:0033215	obsolete oxidation-reduction process;reductive iron assimilation	GO:0016021	integral component of membrane	GO:0016491	oxidoreductase activity	GO:0055114	obsolete oxidation-reduction process
NCU08195	NCU08195-t26_1	Neurospora crassa OR74A	arginyl-tRNA synthetase	N/A	GO:0005739	mitochondrion	GO:0004814	arginine-tRNA ligase activity	GO:0006420;GO:0032543	arginyl-tRNA aminoacylation;mitochondrial translation	GO:0005737	cytoplasm	GO:0005524;GO:0004812;GO:0004814;GO:0000166	ATP binding;aminoacyl-tRNA ligase activity;arginine-tRNA ligase activity;nucleotide binding	GO:0006420;GO:0006418	arginyl-tRNA aminoacylation;tRNA aminoacylation for protein translation
NCU08197	NCU08197-t26_1	Neurospora crassa OR74A	cytochrome P450 2E1	cyp450-20	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0020037;GO:0005506;GO:0016705	heme binding;iron ion binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:0017000;GO:0055114;GO:1902600;GO:0030582	antibiotic biosynthetic process;obsolete oxidation-reduction process;proton transmembrane transport;reproductive fruiting body development
NCU08199	NCU08199-t26_1	Neurospora crassa OR74A	6-hydroxy-D-nicotine oxidase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0071949;GO:0050660;GO:0016491	FAD binding;flavin adenine dinucleotide binding;oxidoreductase activity	GO:0009821;GO:0005975;GO:0055114	alkaloid biosynthetic process;carbohydrate metabolic process;obsolete oxidation-reduction process
NCU08200	NCU08200-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08204	NCU08204-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08206	NCU08206-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08207	NCU08207-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08208	NCU08208-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08209	NCU08209-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08210	NCU08210-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08211	NCU08211-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08212	NCU08212-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08213	NCU08213-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08216	NCU08216-t26_1	Neurospora crassa OR74A	Cystathionine beta-synthase	met-11	GO:0005737;GO:0005739	cytoplasm;mitochondrion	GO:0004122;GO:0030170	cystathionine beta-synthase activity;pyridoxal phosphate binding	GO:0019344;GO:0050667;GO:0070814;GO:0019346	cysteine biosynthetic process;homocysteine metabolic process;hydrogen sulfide biosynthetic process;transsulfuration	GO:0005737;GO:0010494	cytoplasm;cytoplasmic stress granule	GO:0004122	cystathionine beta-synthase activity	GO:0019344;GO:0006535;GO:0019343;GO:0009093;GO:0007089	cysteine biosynthetic process;cysteine biosynthetic process from serine;cysteine biosynthetic process via cystathionine;cysteine catabolic process;traversing start control point of mitotic cell cycle
NCU08217	NCU08217-t26_1	Neurospora crassa OR74A	SRP receptor beta subunit	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	GO:0016021	integral component of membrane	GO:0005525	GTP binding	N/A	N/A
NCU08218	NCU08218-t26_1	Neurospora crassa OR74A	palmitoyltransferase akr1	ptr-1	GO:0000139	Golgi membrane	GO:0016409	palmitoyltransferase activity	GO:0034599;GO:0018345	cellular response to oxidative stress;protein palmitoylation	GO:0031901;GO:0016021	early endosome membrane;integral component of membrane	GO:0016409;GO:0005515;GO:0019706	palmitoyltransferase activity;protein binding;protein-cysteine S-palmitoyltransferase activity	N/A	N/A
NCU08219	NCU08219-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU08220	NCU08220-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08221	NCU08221-t26_1	Neurospora crassa OR74A	dienelactone hydrolase-3	dlh-3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016787	hydrolase activity	N/A	N/A
NCU08222	NCU08222-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08223	NCU08223-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08224	NCU08224-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0009416	response to light stimulus	N/A	N/A	N/A	N/A	N/A	N/A
NCU08225	NCU08225-t26_1	Neurospora crassa OR74A	high affinity nickel transporter nic1	trm-34	GO:0005783;GO:0005887;GO:0005886	endoplasmic reticulum;integral component of plasma membrane;plasma membrane	GO:0015099	nickel cation transmembrane transporter activity	GO:0035444;GO:0015675;GO:0034254;GO:0010045	nickel cation transmembrane transport;nickel cation transport;regulation of urea catabolic process;response to nickel cation	GO:0005887	integral component of plasma membrane	GO:0015099	nickel cation transmembrane transporter activity	GO:0006875;GO:0035444	cellular metal ion homeostasis;nickel cation transmembrane transport
NCU08226	NCU08226-t26_1	Neurospora crassa OR74A	hypothetical protein	gt2-4	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU08227	NCU08227-t26_1	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	gh12-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0008810;GO:0004553	cellulase activity;hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0000272	polysaccharide catabolic process
NCU08227	NCU08227-t26_2	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	gh12-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0008810;GO:0004553	cellulase activity;hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0000272	polysaccharide catabolic process
NCU08228	NCU08228-t26_1	Neurospora crassa OR74A	glucose dehydrogenase-2	gld-2	GO:0005829;GO:0005634	cytosol;nucleus	N/A	N/A	GO:0034599;GO:0006024	cellular response to oxidative stress;glycosaminoglycan biosynthetic process	N/A	N/A	GO:0051287;GO:0003979;GO:0016616	NAD binding;UDP-glucose 6-dehydrogenase activity;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0006065;GO:0055114;GO:0000271;GO:0000272	UDP-glucuronate biosynthetic process;obsolete oxidation-reduction process;polysaccharide biosynthetic process;polysaccharide catabolic process
NCU08229	NCU08229-t26_1	Neurospora crassa OR74A	Septal pore-associated protein, putative	N/A	GO:0000934	porous cell septum	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08230	NCU08230-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08231	NCU08231-t26_1	Neurospora crassa OR74A	acyltransferase	N/A	GO:0016020	membrane	N/A	N/A	GO:0033692	cellular polysaccharide biosynthetic process	GO:0016021	integral component of membrane	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	GO:0048315	conidium formation
NCU08232	NCU08232-t26_1	Neurospora crassa OR74A	alpha-1,6-mannosyltransferase Och1	gt32-1	GO:0000136	mannan polymerase complex	GO:0000009	alpha-1,6-mannosyltransferase activity	GO:0006491	N-glycan processing	N/A	N/A	GO:0000009	alpha-1,6-mannosyltransferase activity	GO:0005975;GO:0006486	carbohydrate metabolic process;protein glycosylation
NCU08233	NCU08233-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0005737;GO:0005634	cytoplasm;nucleus	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005975	carbohydrate metabolic process
NCU08234	NCU08234-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08235	NCU08235-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08236	NCU08236-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08237	NCU08237-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08238	NCU08238-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08239	NCU08239-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08240	NCU08240-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08241	NCU08241-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08242	NCU08242-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08243	NCU08243-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08244	NCU08244-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08245	NCU08245-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08246	NCU08246-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08247	NCU08247-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08248	NCU08248-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08249	NCU08249-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08250	NCU08250-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08251	NCU08251-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08252	NCU08252-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08253	NCU08253-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08254	NCU08254-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08255	NCU08255-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08256	NCU08256-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08257	NCU08257-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08258	NCU08258-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08259	NCU08259-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08260	NCU08260-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08261	NCU08261-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08262	NCU08262-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08263	NCU08263-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08264	NCU08264-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08265	NCU08265-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08267	NCU08267-t26_1	Neurospora crassa OR74A	activating signal cointegrator 1 complex subunit 3	N/A	GO:0010494	cytoplasmic stress granule	N/A	N/A	GO:0006417	regulation of translation	N/A	N/A	GO:0005524;GO:0004386;GO:0003676	ATP binding;helicase activity;nucleic acid binding	GO:0002181;GO:0006417;GO:0042254	cytoplasmic translation;regulation of translation;ribosome biogenesis
NCU08268	NCU08268-t26_1	Neurospora crassa OR74A	TOR signaling pathway regulator	N/A	GO:0005829	cytosol	GO:0051721	protein phosphatase 2A binding	GO:0035303	regulation of dephosphorylation	N/A	N/A	GO:0005515	protein binding	GO:0035556;GO:0009966	intracellular signal transduction;regulation of signal transduction
NCU08269	NCU08269-t26_1	Neurospora crassa OR74A	pyridoxamine 5'-phosphate oxidase	pdx-4	N/A	N/A	GO:0004733	pyridoxamine-phosphate oxidase activity	N/A	N/A	N/A	N/A	GO:0010181;GO:0016638;GO:0004733	FMN binding;oxidoreductase activity, acting on the CH-NH2 group of donors;pyridoxamine-phosphate oxidase activity	GO:0051188;GO:0055114;GO:0008615	obsolete cofactor biosynthetic process;obsolete oxidation-reduction process;pyridoxine biosynthetic process
NCU08270	NCU08270-t26_1	Neurospora crassa OR74A	Suppressor of meiotic silencing-3	sms-3	GO:0016442;GO:0044297;GO:0005737;GO:0005634;GO:0044464	RISC complex;cell body;cytoplasm;nucleus;obsolete cell part	GO:0003723;GO:0004525	RNA binding;ribonuclease III activity	GO:0090501;GO:0030437;GO:0035194;GO:0016441;GO:0030422;GO:0070918;GO:0043331;GO:0000909	RNA phosphodiester bond hydrolysis;ascospore formation;post-transcriptional gene silencing by RNA;posttranscriptional gene silencing;production of siRNA involved in RNA interference;production of small RNA involved in gene silencing by RNA;response to dsRNA;sporocarp development involved in sexual r	N/A	N/A	GO:0005524;GO:0003677;GO:0016891;GO:0004386;GO:0016787;GO:0046872;GO:0004525	ATP binding;DNA binding;endoribonuclease activity, producing 5'-phosphomonoesters;helicase activity;hydrolase activity;metal ion binding;ribonuclease III activity	GO:0006396;GO:0051607;GO:0006397;GO:0006364;GO:0050688;GO:0008033	RNA processing;defense response to virus;mRNA processing;rRNA processing;regulation of defense response to virus;tRNA processing
NCU08271	NCU08271-t26_1	Neurospora crassa OR74A	guanine triphosphate binding-15	gtp-15	GO:0012505	endomembrane system	GO:0003924	GTPase activity	GO:0006886	intracellular protein transport	N/A	N/A	GO:0005525;GO:0003924	GTP binding;GTPase activity	N/A	N/A
NCU08272	NCU08272-t26_1	Neurospora crassa OR74A	cytochrome b2	cyb-4	GO:0009514	glyoxysome	GO:0004460	L-lactate dehydrogenase (cytochrome) activity	GO:0034599;GO:0006089	cellular response to oxidative stress;lactate metabolic process	GO:0005739	mitochondrion	GO:0003824;GO:0020037;GO:0046872;GO:0016491	catalytic activity;heme binding;metal ion binding;oxidoreductase activity	GO:0005975;GO:0055114;GO:1902600	carbohydrate metabolic process;obsolete oxidation-reduction process;proton transmembrane transport
NCU08273	NCU08273-t26_1	Neurospora crassa OR74A	plasma membrane channel protein	N/A	GO:0032541	cortical endoplasmic reticulum	GO:0005254	chloride channel activity	GO:0034599;GO:1902476;GO:0055085	cellular response to oxidative stress;chloride transmembrane transport;transmembrane transport	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
